MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
1806,36202.70,5225092-4,5225092,54176.96898,101376.3045,42240.12687,19230.08382,13837.83131,8244.959604,5832.636111,4053.975686,2732.824889,1820.252209,7334.833499,18816.61256,0.279910032,0.353299776,0.256894584,0.20125944,0.184062624,0.16241268,0.150924768,0.140927328,0.132060696,0.124672344,0.158291784,0.200028048,15164.67712,35816.22567,10851.25982,3870.235901,2547.027542,1339.085986,880.2892519,571.3159613,360.8987569,226.9351096,1161.04388,3763.850279
1802,124754.06,5224885-4,5224885,3770.172923,4217.896248,6769.674547,4993.460698,3973.238693,2231.276902,1401.88779,856.3014425,817.1562337,2028.211131,3868.035945,4805.07438,0.195020184,0.201222864,0.231849168,0.211278216,0.19787616,0.170462448,0.15374112,0.1399794,0.13885164,0.166682928,0.196407024,0.208906872,735.2598171,848.7371631,1569.543411,1055.009468,786.2092154,380.3489228,215.527799,119.8645621,113.4634832,338.0681699,759.7094286,1003.813058
1884,29795.04,8994644-4,8994644,1167.016537,1321.150797,1609.846712,1264.879559,1069.153515,594.5178587,352.3068792,220.1917995,132.1150797,110.0958998,330.2876993,1034.901458,0.19722084,0.204249528,0.216450672,0.20173188,0.192529968,0.166149528,0.148644864,0.136574784,0.12646152,0.123465336,0.146803872,0.190841376,230.1599818,269.8444267,348.4524026,255.1665315,205.8440921,98.7788616,52.36860814,30.07264746,16.70747379,13.59302725,48.48751312,197.5020182
1804,0.00,5225031-4,5225031,4829.540136,2471.041306,10850.56256,26912.33105,41195.43911,30454.97245,19973.84279,15653.19037,18545.04267,24123.23492,23218.00197,9791.195351,0.122831352,0.114196368,0.138312144,0.165783768,0.18399252,0.170654472,0.155271216,0.147831048,0.15290292,0.161729928,0.16037052,0.135959088,593.2189444,282.1839423,1500.764572,4461.627647,7579.652655,5197.277243,3101.362858,2314.027537,2835.591176,3901.449047,3723.483049,1331.20199
2353,149934.53,2490617-4,2490617,39079.15126,74630.34058,17781.7111,14488.62041,12524.02024,7011.885526,4249.70173,2603.156385,1861.843994,10703.76803,14999.9547,13527.11622,0.447550032,0.592476336,0.326736456,0.302751744,0.287206944,0.2359914,0.202838304,0.17789652,0.164217096,0.271747488,0.306631848,0.295275,17489.8754,44216.71074,5809.933266,4386.455096,3596.98558,1654.744682,862.0022915,463.0924619,305.7466138,2908.722075,4599.463829,3994.219241
2391,8443.39,3124852-4,3124852,223205.9806,357111.9536,368260.9984,210836.0946,149375.6702,92534.38045,57910.44327,42817.5187,40955.67471,83572.57421,181474.7414,221449.3393,0.622986816,0.772924032,0.784098,0.607210368,0.52139088,0.425427648,0.352406712,0.31412688,0.308991,0.4079748,0.567927744,0.62077092,139054.3832,276020.411,288752.7123,128021.8626,77883.11214,39366.68383,20408.0289,13450.13356,12654.93488,34095.50425,103064.5405,137469.3101
1853,10829.64,5310186-4,5310186,3381.16741,4839.326438,7611.296536,6537.24987,5455.863477,2962.802991,1766.427547,1083.832969,758.4384205,540.6931966,1854.504267,4420.962019,0.222101664,0.248966736,0.291096192,0.275801328,0.2591562,0.213424008,0.184745376,0.16401288,0.151921464,0.142396464,0.187119768,0.241703352,750.962908,1204.831308,2215.619438,1802.982196,1413.920846,632.3332893,326.3393214,177.7625666,115.2230752,76.9927993,347.0144082,1068.561339
2425,40227.19,5194937-4,5194937,3200.120819,2006.191951,8046.786984,16947.42883,15024.42045,10302.52964,8915.321304,7212.504721,9708.011782,14146.09983,13018.2285,6556.822474,0.203542392,0.179484528,0.272741136,0.359459784,0.343012776,0.29780484,0.282738576,0.262649208,0.291471096,0.335176368,0.3247644,0.25432512,651.3602463,360.0804154,2194.689823,6091.919108,5153.568167,3068.143191,2520.70525,1894.358653,2829.604834,4741.438362,4227.857168,1667.564663
2397,287237.99,3127366-4,3127366,322947.9726,275254.4288,530977.845,930418.0022,537297.3497,445359.9337,240933.867,167991.6636,302920.3051,368899.5546,492728.0829,420466.0274,0.401296632,0.376296936,0.494150904,0.632984256,0.4966716,0.45848016,0.357024432,0.311188608,0.391024872,0.423787824,0.478575624,0.447516504,129597.9337,103577.3982,262383.1821,588939.9469,266860.3343,204188.6936,86019.27702,52277.09194,118449.3735,156335.1395,235807.6497,188165.4867
1807,20607.27,5225098-4,5225098,1228.180926,1301.578193,1428.800121,1061.813789,741.3123917,415.9178435,293.589066,195.726044,146.794533,97.863022,366.9863325,983.5233711,0.187320936,0.19024092,0.195129912,0.18038064,0.165375336,0.146514312,0.137644632,0.12918948,0.124206,0.11835384,0.143137128,0.1769364,230.0640007,247.6134328,278.8016419,191.5306508,122.5947859,60.93791669,40.41095895,25.28574585,18.23276177,11.58246445,52.52936965,174.0210846
