HUC_12,COMID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12
050100010901,8973484,1.273323641,1.28473533,1.727922296,3.391650302,3.46377331,2.799375138,1.437193232,1.150711695,1.750207655,2.014233932,2.407866417,1.511156836,0.31635192,0.317406528,0.355482144,0.46808136,0.472284552,0.431837592,0.331113384,0.304711608,0.357268272,0.37766244,0.405862536,0.337517232,4.025022643,4.047602103,4.860785065,7.245856365,7.334081318,6.482472091,4.340486679,3.776395992,4.898861141,5.333424029,5.932714166,4.477273136
050100010605,8969350,4.897710105,4.015017363,6.24193913,16.21363171,15.0193687,11.72875291,5.990513849,4.685956726,7.333440299,8.27415426,10.46398096,6.446726564,0.308116224,0.286670496,0.337544664,0.498305328,0.48220884,0.434437536,0.332283816,0.303147984,0.359301288,0.376860816,0.41442132,0.341753952,15.89565795,14.00568743,18.49218724,32.53754435,31.14702066,26.99755877,18.0283046,15.45765426,20.41028113,21.95546448,25.24962026,18.86364891
050100010601,8971494,1.867326132,1.726081701,2.290889524,5.752963823,5.857481303,4.618421047,2.389233932,1.865570488,2.951776406,3.431690323,4.035745294,2.272710108,0.317671704,0.308521608,0.343317576,0.500533416,0.504437904,0.455776584,0.348947232,0.317558928,0.379238256,0.40299132,0.43077384,0.342266016,5.878163238,5.594686585,6.672800007,11.49366583,11.61189763,10.13308101,6.846977746,5.874722211,7.783435241,8.515544014,9.368594189,6.640186293
050100010505,8969978,48.89118774,48.69277159,80.04912019,125.5051913,69.71061118,71.64068744,26.95276747,20.41571016,26.50604089,47.57227397,70.2468473,61.2268273,0.46795944,0.46715172,0.579875904,0.710924664,0.545476176,0.552072048,0.366579912,0.329196192,0.364171992,0.462567528,0.547317168,0.515413752,104.4774046,104.2333133,138.0452604,176.5379619,127.7977192,129.7669167,73.5249439,62.01684788,72.78440263,102.8439549,128.3476043,118.7916059
050100010504,8969898,48.03426332,48.13317407,78.78545259,121.7800535,67.23959819,53.76720714,26.03722718,19.70804385,25.56699763,45.88841269,67.9959978,59.88596798,0.394100304,0.39442644,0.484278432,0.585816456,0.452783448,0.412616904,0.310792368,0.280989024,0.308704488,0.386903976,0.454920096,0.43138344,121.883345,122.0333355,162.6862718,207.8809023,148.5027743,130.3078149,83.77691946,70.13812699,82.82029779,118.6041383,149.468002,138.8230572
050100010311,8970018,31.44818013,34.177018,52.46635952,58.07063158,34.26579132,29.61347501,13.52712752,10.16642753,13.61558935,17.23190551,30.23290603,36.69050626,0.45463968,0.47093124,0.567269376,0.593473032,0.471452448,0.443310264,0.324419976,0.291995352,0.325218552,0.356024688,0.44717208,0.485406192,69.17165728,72.57326569,92.48932119,97.84881275,72.68133078,66.8007881,41.69634586,34.81708686,41.86596757,48.40087245,67.60910928,75.58722337
050100010309,8974256,30.11227626,33.32351993,50.5301385,52.54459897,30.00458729,26.39506717,11.93719322,8.960271453,11.91434152,15.41481347,27.42710296,34.63113527,0.299752512,0.311127648,0.3648456,0.370527072,0.299362368,0.285847536,0.21988272,0.202094592,0.219754704,0.23818596,0.289797744,0.315611256,100.4571273,107.1056209,138.4973219,141.810418,100.2283203,92.3396701,54.2889101,44.33701745,54.2165483,64.7175571,94.64222386,109.7271869
050100010102,8973610,2.490070223,2.209223738,3.297921539,8.099949019,7.141140594,5.771454723,2.987738802,2.309578642,3.776731098,4.2989787,5.19704749,3.108849955,0.318647064,0.30481524,0.354793296,0.51425856,0.487064304,0.44503848,0.34146744,0.309847488,0.374260872,0.39421308,0.426031152,0.346746576,7.814508602,7.247746989,9.295332174,15.75073251,14.66159711,12.96843977,8.749703344,7.453920822,10.09117271,10.90521578,12.19874994,8.965769728
050100010308,8972238,13.58616815,16.33743296,24.498603,27.1783961,15.0338103,11.08191118,5.87115834,4.806416591,6.532838095,8.466057529,13.85333759,15.13172995,0.261295896,0.278504904,0.322795392,0.335761584,0.270537432,0.244141752,0.20115276,0.190350648,0.207404208,0.224137728,0.263033256,0.271147032,51.99533692,58.66120391,75.89514476,80.94552026,55.57016707,45.39129868,29.18756044,25.25032955,31.49809812,37.7716755,52.66762768,55.80636395
050100010303,8973102,3.182360488,2.744978476,4.369034579,11.7793268,8.101817931,6.433502597,3.383749901,2.326257265,4.217284598,5.509070823,6.876916098,4.051546095,0.33761172,0.31921704,0.382258824,0.5820918,0.494123472,0.448016376,0.345679776,0.300267624,0.376897392,0.420023544,0.460769208,0.370938552,9.426096014,8.599097579,11.42951923,20.23620123,16.396343,14.35997196,9.788683447,7.74727969,11.18947673,13.11610004,14.92486038,10.92241848
050100010301,8973110,1.309909007,1.256163632,1.732254774,4.598910739,3.325134029,2.614182961,1.399928262,0.937117721,1.804349465,2.476053384,2.855640712,1.559833495,0.323490336,0.318442848,0.360203496,0.541074864,0.470349072,0.425220384,0.331735176,0.28610052,0.366031272,0.41580816,0.441127896,0.345789504,4.04929873,3.944706687,4.809100392,8.499583044,7.069502688,6.147830771,4.220017543,3.27548416,4.929495383,5.954797481,6.473498362,4.510933608
050100010207,8969512,8.298280213,8.295221994,12.903987,22.35300722,13.55691684,10.48578493,5.531497765,4.096994633,5.895199343,7.732169816,11.61576869,10.02577776,0.35483292,0.354781104,0.423742104,0.535445208,0.432499008,0.38933628,0.304294032,0.273305016,0.311526936,0.345225624,0.405832056,0.382383792,23.386444,23.38123959,30.45245416,41.74658189,31.34554437,26.93246293,18.17813425,14.99055778,18.92356218,22.39743889,28.6221074,26.21914936
050100010202,8971694,1.910424373,1.794891639,2.550668274,6.358689488,4.209978851,3.487049758,1.854555234,1.258910366,2.501198743,3.335639579,3.873121644,2.29406101,0.323597016,0.316117224,0.361681776,0.528785328,0.44328588,0.4100322,0.320006472,0.277983696,0.358914192,0.40267128,0.428155608,0.347026992,5.90371443,5.677930534,7.052244386,12.02508684,9.497209456,8.504331508,5.795367896,4.528720153,6.968793096,8.28377822,9.046060759,6.610612613
050100010204,8971074,1.511666539,1.410858565,1.894142186,4.86911009,3.093615491,2.68845805,1.438694025,0.974439325,1.878936039,2.639526539,3.044797248,1.81140036,0.303492408,0.295951656,0.330147168,0.483863904,0.400418808,0.3784092,0.298057824,0.259921248,0.32913828,0.37565076,0.397843248,0.324612,4.980903967,4.767192669,5.737266194,10.06297442,7.725949504,7.104631837,4.826895687,3.748979095,5.708652422,7.026543854,7.653258571,5.580201472
050100010406,8969036,1.913850711,1.750547457,2.194498978,6.034801397,4.402505091,3.493704217,1.856905533,1.264771953,2.392462052,3.27546628,3.858113716,2.341406778,0.301075344,0.291498528,0.316684152,0.475042992,0.416289744,0.379052328,0.297780456,0.260189472,0.327135744,0.369454176,0.39447216,0.324480936,6.356716846,6.005338925,6.929614141,12.70369524,10.57557904,9.21694436,6.235820704,4.860965141,7.313361796,8.865690234,9.780446142,7.215853131
