sip_property,description,units,type,valid_range,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21
chemical_name,Chemical name,na,string,na,Atrazine,Chlorothalonil,Chlorpyriphos,Diazinon,Endosulfan a,Endosulfan b,EPTC,Ethoprop,Malathion,Methamidiphos,Methyl Parathion,Atrazine,Chlorothalonil,Chlorpyriphos,Diazinon,Endosulfan a,EPTC,Ethoprop,Malathion,Methamidiphos,Methyl Parathion
pc_code,Chemical PC Code,na,string,na,80803,81901,59101,57801,79401,79401,41401,41101,57701,101201,53501,80803,81901,59101,57801,79401,41401,41101,57701,101201,53501
solubility,Solubility in water at 25 C,mg/L,float,[0_inf),35,0.81,1.05,60,0.32,0.32,370,1300,148,200000,55,35,0.81,1.05,60,0.32,370,1300,148,200000,55
ld50_mammal_water,Mammalian LD50 water (mg/kg-bw),mg/kg-bw,float,[0_inf),1869,5000,64,1139,38,38,916,32.9,1778,30,3,1869,5000,64,1139,38,916,32.9,1778,30,3
bodyweight_tested_mammal,Body weight (g) of mammalian species,g,float,[0_inf),350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
noael_mammal_water,Mammalian NOAEL (mg/kg-bw),mg/kg-diet,float,[0_inf),10,3,1,5,0.75,0.75,16.3,0.1,34.4,0.1,0.1,10,3,1,5,0.75,16.3,0.1,34.4,0.1,0.1
noael_bodyweight_tested_mammal,Body weight (g) of mammalian species (NOAEL),g,float,[0_inf),350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
ld50_avian_water,Avian LD50 (mg/kg-bw),mg/kg-bw,float,[0_inf),4237,2000,13.3,1.44,111,111,1000,6.04,359,10,1044,4237,2000,13.3,1.44,111,1000,6.04,359,10,1044
bodyweight_tested_bird,Body weight (g) of avian species,g,float,[0_inf),178,1580,178,1580,178,178,178,1580,178,1580,178,178,1580,178,1580,178,178,1580,178,1580,178
mineau_scaling_factor,Mineau scaling factor,unitless,float,(1_inf),1.15,2,2,1.15,1.15,1.15,2,1.15,1.15,2,2,1.15,2,2,1.15,1.15,2,1.15,1.15,2,2
noaec_duck,Mallard duck NOAEC (mg/kg-diet),mg/kg-diet,float,[0_inf),225,10000,25,8.3,30,30,242,40,1200,15,14.7,225,10000,25,8.3,30,242,40,1200,15,14.7
noaec_quail,Northern bobwhite quail NOAEC (mg/kg-diet),mg/kg-diet,float,[0_inf),225,153,25,32,64,64,591,0.952,110,3,6.27,225,153,25,32,64,591,0.952,110,3,6.27
noaec_bird_other_1,NOAEC (mg/kg-diet) for other bird species,mg/kg-diet,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
bodyweight_bird_other_1,Body weight (g) of other avian species,g,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
noaec_bird_other_2,NOAEC (mg/kg-diet) for 2nd other bird species,mg/kg-diet,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
bodyweight_bird_other_2,Body weight (g) of 2nd other avian species,g,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
fw_bird_out,bird daily water flux intake,L,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
fw_mamm_out,mammal daily water flux intake,L,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
dose_bird_out,bird estimate of daily water intake dose,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
dose_mamm_out,mammal estimate of daily water intake dose,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
at_bird_out,bird adjusted LD50 toxicity value,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
at_mamm_out,mammal adjusted LD50 toxicity value,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
det_out,bird NOAEC-based dose-equivalent toxicity quotient,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
act_out,mammalian NOAEL-based adjusted toxicity value,mg/kg-bw,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
acute_bird_out,bird dose to adjusted LD50 ratio,unitless,float,na,,,,,,,,,,,,,,,,,,,,,
acuconb_out,acute bird ratio message,na,string,na,,,,,,,,,,,,,,,,,,,,,
acute_mamm_out,mammal dose to adjusted LD50 ratio,unitless,float,na,,,,,,,,,,,,,,,,,,,,,
acuconm_out,acute mammal ratio message,na,string,na,,,,,,,,,,,,,,,,,,,,,
chron_bird_out,bird dose to NOAEC ratio,unitless,float,na,,,,,,,,,,,,,,,,,,,,,
chronconb_out,chronic bird ratio message,na,string,na,,,,,,,,,,,,,,,,,,,,,
chron_mamm_out,mammal dose to NOAEL ratio,unitless,float,na,,,,,,,,,,,,,,,,,,,,,
chronconm_out,chronic mammal ratio message,na,string,na,,,,,,,,,,,,,,,,,,,,,
fw_bird_exp,bird daily water flux intake,L,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
fw_mamm_exp,mammal daily water flux intake,L,float,[0_inf),,,,,,,,,,,,,,,,,,,,,
dose_bird_exp,bird estimate of daily water intake dose (upper bound exposure),mg/kg-bw,float,[0_inf),28.35,0.6561,0.8505,48.6,0.2592,0.2592,299.7,1053,119.88,162000,44.55,28.35,0.6561,0.8505,48.6,0.2592,299.7,1053,119.88,162000,44.55
dose_mamm_exp,mammal estimate of daily water intake dose (upper bound exposure),mg/kg-bw,float,[0_inf),6.02,0.1393,0.1806,10.32,0.055,0.055,63.64,223.6,25.456,34400,9.46,6.02,0.1393,0.1806,10.32,0.055,63.64,223.6,25.456,34400,9.46
at_bird_exp,bird adjusted LD50 toxicity value (acute adjusted toxicity value),mg/kg-bw,float,[0_inf),2199.9581,1038.4508,6.9057,0.7477,57.634,57.634,519.2254,3.1361,186.4019,5.1923,542.0713,3052.4599,25.3165,1.4944,0.7477,79.9677,112.3596,3.1361,258.6342,0.1266,117.3034
at_mamm_exp,mammal adjusted LD50 toxicity value (acute adjusted toxicity value),mg/kg-bw,float,[0_inf),1437.5611,3845.8028,49.2263,876.0739,29.2281,29.2281,704.5511,25.3054,1367.5675,23.0748,2.3075,1437.5611,3845.8028,49.2263,876.0739,29.2281,704.5511,25.3054,1367.5675,23.0748,2.3075
det_exp,bird NOAEC-based dose-equivalent toxicity quotient (chronic adjusted toxicity value),mg/kg-bw,float,[0_inf),11.1628,16.2636,1.2403,0.4118,1.4884,1.4884,12.0062,0.1012,11.6928,0.3189,0.6665,11.1628,16.2636,1.2403,0.4118,1.4884,12.0062,0.1012,11.6928,0.3189,0.6665
act_exp,mammalian NOAEL-based adjusted toxicity value (chronic adjusted toxicity value),mg/kg-bw,float,[0_inf),7.6916,2.3075,0.7692,3.8458,0.5769,0.5769,12.5373,0.0769,26.4591,0.0769,0.0769,7.6916,2.3075,0.7692,3.8458,0.5769,12.5373,0.0769,26.4591,0.0769,0.0769
acute_bird_exp,bird dose to adjusted LD50 ratio (acute ratio of exposure to toxicity),unitless,float,na,0.0129,0.0006,0.1232,65.0007,0.0045,0.0045,0.5772,335.7651,0.6431,31200.3222,0.0822,0.0093,0.0259,0.5691,65.0007,0.0032,2.6673,335.7651,0.4635,1279800,0.3798
acuconb_exp,acute bird ratio message,na,string,na,,,,,,,,,,,,Drinking water exposure alone is NOT a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds
acute_mamm_exp,mammal dose to adjusted LD50 ratio (acute ratio of exposure to toxicity),unitless,float,na,0.0042,0,0.0037,0.0118,0.0019,0.0019,0.0903,8.8361,0.0186,1490.8027,4.0997,0.0042,0,0.0037,0.0118,0.0019,0.0903,8.8361,0.0186,1490.8027,4.0997
acuconm_exp,acute mammal ratio message,na,string,na,,,,,,,,,,,,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals
