MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
1977,0,2684919-1,2684919,79350359.76,74969560.72,76241295.59,66368780.96,50451800.81,42786603.77,32693026.36,30646050,25694787.83,25442125.08,34217406.85,60490225.07,1.113016824,1.082747136,1.091616816,1.020796536,0.89521284,0.828083688,0.730349568,0.70887336,0.6539484,0.651019272,0.74593704,0.97625916,88318285.4,81173077.16,83226280.34,67749021.7,45165099.89,35430888.65,23877337.68,21724168.43,16803065.39,16563313.75,25524031.18,59054136.32
1981,0,2695676-1,2695676,79350359.76,74969560.72,76241295.59,66368780.96,50451800.81,42786603.77,32693026.36,30646050,25694787.83,25442125.08,34217406.85,60490225.07,1.113016824,1.082747136,1.091616816,1.020796536,0.89521284,0.828083688,0.730349568,0.70887336,0.6539484,0.651019272,0.74593704,0.97625916,88318285.4,81173077.16,83226280.34,67749021.7,45165099.89,35430888.65,23877337.68,21724168.43,16803065.39,16563313.75,25524031.18,59054136.32
1989,0,2696066-1,2696066,78949784.39,74556419.74,75771325.55,66042848.16,50175807.52,42631368.55,32603821.77,30591249.15,25650106.03,25412771.07,34125136.7,60150907.06,0.602568264,0.587340456,0.591592416,0.556576992,0.493779048,0.460641192,0.411979872,0.401403312,0.373949976,0.37257228,0.419776656,0.534183336,47572634.52,43790001.57,44825741.55,36757929.77,24775762.47,19637764.43,13432118.32,12279428.73,9591856.53,9468094.06,14324935.77,32131612.2
1812,0,5227490-4,5227490,7329.940348,42433.40634,8707.362382,8134.863704,5632.016916,3175.655064,1923.008382,1071.600091,822.0493848,587.178132,1264.879559,6099.312846,0.225192336,0.427320456,0.237756192,0.232656888,0.208062576,0.17814036,0.15846552,0.141256512,0.135050784,0.12833604,0.145609056,0.21299424,1650.64639,18132.66255,2070.229322,1892.632074,1171.811948,565.7123363,304.7305233,151.3704911,111.0184139,75.35611624,184.1779186,1299.118504
1827,0,5273944-4,5273944,953332.6288,1158524.474,1170999.562,898152.5639,686570.2637,411572.7253,187850.5173,177946.7795,167585.532,245137.0838,634536.4949,847630.7788,0.652512792,0.713424024,0.716956656,0.635105664,0.563172864,0.451539864,0.32974788,0.323063616,0.315882528,0.365537496,0.543943032,0.618725712,622061.7353,826519.19,839555.93,570421.7804,386657.7418,185841.4924,61943.30984,57488.13003,52937.34151,89606.79579,345151.705,524450.9571
1852,0,5310183-4,5310183,3381.16741,4839.326438,7611.296536,6537.24987,5455.863477,2962.802991,1766.427547,1083.832969,758.4384205,540.6931966,1854.504267,4420.962019,0.222101664,0.248966736,0.291096192,0.275801328,0.2591562,0.213424008,0.184745376,0.16401288,0.151921464,0.142396464,0.187119768,0.241703352,750.962908,1204.831308,2215.619438,1802.982196,1413.920846,632.3332893,326.3393214,177.7625666,115.2230752,76.9927993,347.0144082,1068.561339
1888,0,8994653-5,8994653,1750236.11,2945904.49,4006565.95,3181492.59,2155733.988,1355383.282,838588.2355,616681.3866,445166.6542,410075.4211,913918.2967,2421696.323,0.29798772,0.362952792,0.410660088,0.374169432,0.321856608,0.272091912,0.23201376,0.211229448,0.192600072,0.188393832,0.238463328,0.336374232,521548.8679,1069224.26,1645336.72,1190417.28,693837.2292,368788.8287,194564.0096,130261.2689,85739.12965,77255.67999,217935.9986,814596.24
1891,0,1308190-1,1308190,10439.53787,54881.58274,12957.06411,11626.12701,7963.603415,4499.252436,2698.572832,1619.633014,1162.123386,897.8932269,1991.512498,8839.477462,0.268038072,0.514112256,0.28919424,0.278276304,0.244733064,0.205310232,0.178850544,0.158700216,0.148245576,0.141302232,0.16620744,0.253322328,2798.193604,28215.29431,3747.108309,3235.275655,1948.957064,923.7425616,482.641219,257.0361092,172.2796508,126.8743171,331.004194,2239.237009
1892,0,1313095-1,1313095,864666.2843,1345264.246,2844427.88,1990208.473,1395502.228,902940.5122,599450.155,511693.9366,308960.9002,304442.0751,568914.4455,1303222.291,0.420023544,0.506269752,0.707556624,0.601574616,0.514374384,0.427610016,0.36239196,0.340757256,0.28276296,0.281293824,0.355043232,0.499378224,363180.1971,681066.596,2012593.79,1197258.9,717810.5989,386106.4069,217235.9166,174363.4217,87362.69866,85637.6755,201989.2235,650800.8333
1893,0,1313302-1,1313302,5851058.83,7141923.46,8004952.99,7522478.5,5293927.09,3087184.45,2144937.25,1402198.505,1057620.358,787997.9463,2596489.47,5099590.7,0.384419856,0.416850576,0.437013096,0.425872656,0.369393216,0.300813216,0.264450576,0.230011224,0.211095336,0.194154552,0.282650184,0.36397692,2249263.19,2977114.91,3498269.29,3203617.9,1955540.75,928665.88,567229.8914,322521.3945,223258.7249,152993.3882,733898.2256,1856133.32
1894,0,1313323-1,1313323,1432257.132,1820614.302,2201059.247,2249609.092,1445334.079,815759.2391,400396.7682,270295.2202,190238.375,162335.1809,1036462.373,1249143.185,0.50537364,0.561264816,0.61080396,0.616826808,0.507363984,0.39908988,0.30307788,0.263703816,0.234827064,0.223451928,0.440454288,0.476551752,723825.0004,1021846.75,1344415.7,1387619.2,733310.4564,325561.2568,121351.4037,71277.88101,44673.11907,36274.10915,456514.2965,595281.3735
1895,0,1732330-1,1732330,39691147.45,43692235.52,36844135.99,26969439.02,24934524.27,16064953.93,9726906.69,6307487.07,10498348.65,11801314.06,22152173.35,37058429.1,0.714246984,0.74669904,0.690210456,0.599184984,0.578574408,0.477688656,0.38794944,0.327550272,0.400107912,0.41972484,0.54906672,0.692051448,28349282.36,32624950.32,25430207.9,16159682.89,14426477.62,7674046.25,3773548,2066019.1,4200472.36,4953304.65,12163021.16,25646339.52
1896,0,1732576-1,1732576,465106.2449,648677.7016,438377.407,268533.6858,214415.4346,124586.9667,84152.41262,57465.16652,51708.37425,55339.09237,124393.6873,295905.973,0.576245736,0.669423096,0.561325776,0.45424344,0.413665416,0.3336036,0.28853892,0.252868176,0.244208808,0.249719592,0.33340548,0.473299536,268015.4904,434239.8353,246072.5382,121979.6652,88696.24996,41562.66062,24281.24625,14531.11184,12627.64044,13819.25557,41473.53701,140052.1597
1897,0,1732741-1,1732741,23909247.64,25311595.39,29110554.72,23723293.22,17991211.36,10050840.63,4622068.08,3752841.38,3363508.03,4177373.62,8560403.93,18038466.97,0.66641472,0.68400168,0.729480888,0.664046424,0.586185264,0.455295,0.33317688,0.308128416,0.296027856,0.320667888,0.42577512,0.586871064,15933474.57,17313173.77,21235593.3,15753368.03,10546182.98,4576097.48,1539966.22,1156357.07,995692.07,1339549.58,3644807.01,10586254.3
1898,0,1733531-1,1733531,1928569.449,2403498.694,2386242.997,1867050.306,1488870.891,992186.6951,609566.7449,431372.8612,576792.4188,412881.6432,835400.3476,1738113.328,0.494940336,0.544659312,0.542937192,0.488097576,0.443465712,0.375714768,0.311502552,0.275017992,0.30521148,0.270854424,0.351123504,0.473403168,954526.81,1309087.95,1295580.07,911302.73,660263.1896,372779.194,189881.5966,118635.2981,176043.6678,111830.8197,293328.6973,822828.36
1899,0,1733572-1,1733572,961122.5254,1298654.535,902659.156,537984.8374,407560.3414,239397.4176,144993.8534,102805.1046,86704.19092,72602.12945,211526.0289,601404.9688,0.629415048,0.722205312,0.611867712,0.48743616,0.433504848,0.349943928,0.290114736,0.257385312,0.243254784,0.229828344,0.33366456,0.511420872,604944.9804,937895.2,552307.9925,262233.2633,176679.3839,83775.67266,42064.8535,26460.52393,21091.20923,16686.02718,70578.73936,307571.0536
1900,0,1733940-1,1733940,50792576.98,58939830.14,55691499.55,42466650.41,35588626.82,23804076.7,12683001.17,7521098.64,10667103.65,13211202.15,25770599.87,43968762.17,0.557869344,0.595999824,0.581113392,0.515803896,0.478026984,0.404183088,0.316037976,0.26223468,0.296536872,0.320899536,0.417536376,0.52366164,28335621.6,35128128.39,32363076.21,21904463.73,17012323.94,9621205.23,4008310.02,1972292.89,3163189.55,4239468.64,10760162.88,23024754.1
1902,0,1734154-1,1734154,17851585.3,21330464.04,22513769.88,17081789.87,13884661.21,8233759.18,4585305.84,3322596.39,3463367.46,3150690.21,6698131.78,15402536.26,0.471806016,0.509265936,0.52134516,0.463064352,0.424607736,0.3445002,0.277572216,0.248713752,0.252157992,0.244409976,0.318494664,0.4433316,8422485.34,10862878.73,11737444.96,7909967.96,5895534.56,2836531.68,1272753.5,826375.41,873315.78,770060.12,2133319.23,6828431.04
1903,0,1735518-1,1735518,6750498.29,7260455.16,9375125.82,7809535.21,5746467.72,3278978.84,1886490.796,1461738.368,1480197.78,1691298.105,3293332.9,7266209.5,0.3765804,0.38772084,0.430420272,0.399315432,0.353421696,0.286582104,0.2375916,0.219401136,0.220239336,0.22949916,0.28703016,0.387845808,2542105.35,2815029.77,4035244.21,3118467.93,2030926.37,939696.66,448214.3665,320707.0584,325997.7763,388151.4944,945285.87,2818168.9
1904,0,1735524-1,1735524,7385847.05,7979327.56,10162517.02,8360826.97,6154363.24,3501436.17,2016122.601,1566038.33,1540344.394,1739273.005,3434321.71,7804316.67,0.517788144,0.535542744,0.596048592,0.54662832,0.478667064,0.379116336,0.306680616,0.279980136,0.278352504,0.290632896,0.376202448,0.530373336,3824304.03,4273270.97,6057353.96,4570264.8,2945890.98,1327451.65,618305.7213,438459.6246,428758.719,505489.9504,1292000.23,4139201.47
1905,0,1736453-1,1736453,4089326.26,4778820.18,5138278.4,4194908.22,3135313.48,1907729.518,996634.5695,785331.1789,982256.045,1255166.654,1967964.208,3632274.14,0.358725216,0.381560832,0.392850624,0.362334048,0.323898768,0.2705862,0.21909024,0.204222096,0.21813012,0.235387896,0.27352752,0.34257996,1466944.44,1823410.6,2018575.87,1519958.08,1015524.17,516205.2809,218352.907,160381.9794,214259.629,295451.0379,538292.3693,1244344.33
1907,0,1774281-1,1774281,75613.86395,147364.5851,90122.05696,51740.17973,42819.96528,35984.23319,25268.23228,23489.57186,37107.21137,49296.05076,51194.59338,48496.02055,0.437125872,0.583024488,0.47064168,0.374516904,0.347697552,0.325319136,0.285725616,0.2784348,0.32912304,0.367399824,0.372941088,0.365034576,33052.77621,85917.16178,42415.19629,19377.57193,14888.3971,11706.35965,7219.781234,6540.314242,12212.83821,18111.36037,19092.56736,17702.7243
1908,0,1906837-1,1906837,2096.715246,1091.172695,6248.553955,11141.70505,7400.891039,3921.860607,2267.975535,1365.189157,1629.419316,7635.762292,4871.13192,4313.312695,0.203033376,0.171081192,0.288709608,0.358706928,0.307021992,0.246046752,0.20767548,0.180819552,0.189369192,0.310585104,0.264593832,0.253925832,425.703175,186.6791254,1804.017563,3996.606793,2272.236309,964.9610641,471.0029078,246.8528917,308.5618194,2371.554025,1288.871461,1095.261515
1909,0,1911272-2,1911272,44758580.36,46013685.85,63084798.87,56063621.25,36516395.18,28277532.44,19060088.41,14779026.48,17491901.99,23554303.35,38142257.17,50113950.75,0.500259096,0.506269752,0.581470008,0.551864784,0.458644752,0.41234868,0.352187256,0.319564512,0.340681056,0.382905,0.467176104,0.525386808,22390886.95,23295337.33,36681918.5,30939538.23,16748053.01,11660203.18,6712720.24,4722852.38,5959159.64,9019060.52,17819151.1,26329208.62
1910,0,1911650-1,1911650,121704.9007,234770.9432,202194.7898,110171.7436,76908.10241,48060.5301,30814.61905,21630.17444,21730.48404,18417.82074,61550.94769,107081.7187,0.416497008,0.551130216,0.51627024,0.399891504,0.34674048,0.290904168,0.249506232,0.222866712,0.223183704,0.212320632,0.318549528,0.395304264,50689.72701,129389.3606,104387.1526,44056.74424,26667.15235,13981.00852,7688.43949,4820.645857,4849.889917,3910.48334,19607.02533,42329.85999
1911,0,1914574-1,1914574,326784.2031,418746.0848,539800.1965,427054.6554,312596.5114,197727.3428,161459.3068,79873.35198,106274.3487,148653.9304,257761.4136,353902.0465,0.47077884,0.523801848,0.585846936,0.52830984,0.4620006,0.382551432,0.353116896,0.272314416,0.301511208,0.341991696,0.426177456,0.4870704,153843.088,219339.9731,316240.2912,225617.1767,144419.7758,75640.87813,57014.00926,21750.6652,32042.90727,50838.40978,109852.1035,172375.2113
1912,0,1916789-1,1916789,4822.200409,3826.44416,12695.28053,18513.23719,12712.40656,7603.956809,4658.279847,3001.9482,9431.548745,14160.77928,15371.83418,9453.567925,0.260201664,0.240993168,0.371892576,0.433526184,0.372090696,0.305677824,0.257178048,0.22322028,0.331326744,0.388488936,0.40160448,0.331619352,1254.744571,922.1469003,4721.280579,8025.973071,4730.168204,2324.360971,1198.007318,670.0957177,3124.924337,5501.306077,6173.397473,3134.986069
1913,0,1918230-1,1918230,4453117.36,4775962.58,7498878.84,7142214.61,4757241.38,3803096.49,2351051.454,1816063.672,2044177.483,2398996.995,4174753.33,5421134.34,0.322185792,0.330826872,0.394935456,0.3872484,0.330333096,0.303845976,0.25655016,0.235723176,0.244912896,0.258299712,0.314498736,0.347310456,1434731.14,1580016.76,2961573.13,2765811.18,1571474.27,1155555.56,603162.6267,428088.2965,500645.4273,619660.233,1312954.65,1882816.64
1914,0,1922231-1,1922231,861.1945936,442.8301746,2192.131693,4748.803143,2918.764631,2086.928944,1135.211055,663.0219741,912.5726802,1328.490524,2077.142642,1763.980972,0.182267352,0.156002736,0.2389632,0.312538872,0.262765032,0.235226352,0.196211952,0.170822112,0.185022744,0.205112112,0.234875832,0.223165416,156.9676581,69.08271881,523.8388041,1484.185578,766.9492817,490.9006824,222.7419771,113.2588139,168.8467014,272.4894971,487.8706062,393.6595473
1915,0,1922233-1,1922233,1267.326135,663.0219741,3231.926302,6806.37318,4215.449673,3019.074229,1629.419316,963.9507667,1345.616553,1981.726196,3070.452315,2600.70981,0.188524896,0.161007552,0.249393456,0.32477964,0.272939256,0.243873528,0.202018392,0.175741584,0.19158204,0.213850728,0.245223792,0.232458768,238.9225278,106.751545,806.0212699,2210.571431,1150.561697,736.2722834,329.1726702,169.4062346,257.7959642,423.7935896,752.9479599,604.5577983
1916,0,1939610-1,1939610,1770413.019,2362036.578,1897598.249,1258413.26,1012872.491,582399.97,392051.499,318602.8544,397169.7351,579185.1697,889677.6262,1343409.741,0.55734204,0.633993144,0.574727832,0.480526344,0.438448704,0.350745552,0.302081184,0.280376376,0.30351984,0.349992696,0.415524696,0.494178336,986725.6,1497515,1090602.53,604700.7232,444092.6312,204274.1989,118431.381,89328.71371,120548.8944,202710.579,369683.0251,663883.9905
1917,0,1940197-1,1940197,124100624.2,142314537.6,175788917,150077081.4,107019150,78435132.54,55784586.86,41548095.85,44049474.69,54252722.3,88429374.09,129853379.6,0.618402624,0.65795652,0.724902792,0.674089584,0.578748144,0.505013976,0.436979568,0.387306312,0.396553944,0.43194732,0.532040592,0.631173744,76744151.65,93636777.88,127429876.7,101165397.4,61937134.41,39610838.14,24376724.67,16091839.77,17467992.92,23434318,47048016.54,81960043.79
1918,0,1940778-1,1940778,10009317.35,9942638.38,11517836.69,8353046.86,7547311.25,4179844.66,2752801.18,2899133.31,1953752.051,3013138.84,7568263.72,9087738.82,0.700021968,0.697873128,0.746921544,0.644520936,0.615653328,0.475161864,0.399345912,0.407862024,0.348520512,0.414354264,0.616421424,0.6697218,7006742.03,6938700.15,8602920.36,5383713.58,4646527.29,1986102.78,1099319.9,1182446.38,680922.665,1248506.92,4665239.9,6086256.8
1919,0,1942383-1,1942383,122814880.3,153922618.6,176065468.1,168385068,108207620.5,78524488.82,57873345.84,46182572.96,43684085.97,54976957.59,96358833.1,136184155.7,0.605899728,0.671099496,0.713792832,0.699284352,0.57261252,0.497683536,0.43729656,0.398529048,0.389668512,0.42806112,0.544028376,0.634770384,74413502.54,103297391.8,125674269.1,117749043.2,61961038.26,39080345.26,25307815.05,18405096.84,17022312.78,23533498.04,52421939.48,86445668.78
1920,0,1943000-1,1943000,2178323.22,2858894.48,2847439.61,1695078.064,1320707.967,758012.7164,458581.2279,354359.5561,263119.4141,588783.0856,1234904.116,1875346.644,0.327760584,0.364065312,0.363492288,0.298609512,0.273213576,0.227453952,0.196196712,0.183120792,0.170087544,0.210699096,0.266934696,0.30989016,713968.4909,1040824.31,1035022.34,506166.4336,360835.3465,172412.988,89972.12911,64890.60256,44753.33492,124056.0639,329638.7547,581151.4716
